genreCat,year,revenue
Drama,2001,416925
Drama,2001,92542418
Drama,2002,41597830
Drama,2002,464000
Drama,2002,52322400
Drama,2002,215000000
Drama,2002,146402
Drama,2003,52277485
Drama,2003,16942795
Drama,2003,7266209
Drama,2003,62852
Drama,2003,173013509
Drama,2003,119723856
Drama,2004,38535221
Drama,2004,611899420
Drama,2004,102000000
Drama,2004,6804016
Drama,2004,216763646
Drama,2004,116766556
Drama,2004,98410061
Drama,2005,13411957
Drama,2005,2019009
Drama,2005,76669806
Drama,2005,27610873
Drama,2005,674918
Drama,2005,712294
Drama,2005,46442528
Drama,2005,25224242
Drama,2005,18618284
Drama,2005,23563727
Drama,2005,13350369
Drama,2005,2025032
Drama,2006,49111202
Drama,2006,10178331
Drama,2006,639000
Drama,2006,43545364
Drama,2006,18948425
Drama,2006,48027970
Drama,2006,20138836
Drama,2006,622806
Drama,2006,11502151
Drama,2006,307077295
Drama,2006,154937680
Drama,2006,1151330
Drama,2006,135330182
Drama,2006,13391174
Drama,2006,10903846
Drama,2006,21170563
Drama,2006,42647449
Drama,2006,4911725
Drama,2006,155721132
Drama,2006,123384128
Drama,2006,21000000
Drama,2007,8159508
Drama,2007,71904
Drama,2007,30226144
Drama,2007,19777647
Drama,2007,92
Drama,2007,2849142
Drama,2007,77208711
Drama,2007,22222308
Drama,2007,73276047
Drama,2007,1185783
Drama,2007,2955039
Drama,2007,66122026
Drama,2008,33456317
Drama,2008,28814580
Drama,2008,2899975
Drama,2008,382174
Drama,2008,49554002
Drama,2008,269958228
Drama,2008,168167691
Drama,2008,32483410
Drama,2008,23311391
Drama,2008,9793496
Drama,2009,47536959
Drama,2009,110197
Drama,2009,31720158
Drama,2009,95714875
Drama,2009,309208309
Drama,2009,2357852
Drama,2009,16633035
Drama,2010,60251371
Drama,2010,93617009
Drama,2010,13831503
Drama,2010,37000000
Drama,2010,15134293
Drama,2010,9479718
Drama,2010,224920315
Drama,2010,382946
Drama,2010,25147786
Drama,2010,48190704
Drama,2010,5129058
Drama,2010,204594016
Drama,2010,771499
Drama,2010,42145
Drama,2011,330048
Drama,2011,2295733
Drama,2011,34522221
Drama,2011,5355847
Drama,2011,1759252
Drama,2011,399611
Drama,2011,46495
Drama,2011,55247881
Drama,2011,110206216
Drama,2011,17693675
Drama,2011,35057696
Drama,2011,75993061
Drama,2011,970816
Drama,2011,5634828
Drama,2011,124272124
Drama,2011,20374201
Drama,2012,28258060
Drama,2012,161772375
