genreCat,year,revenue
Drama,2006,49111202
Documentary,2006,0
Drama,2006,10178331
Drama,2006,639000
Drama,2006,0
Comedy,2006,0
Drama,2006,0
Drama,2006,43545364
Drama,2006,0
Drama,2006,18948425
Drama,2006,48027970
Drama,2006,20138836
Comedy,2006,88715192
Thriller,2006,82800000
Drama,2006,622806
Drama,2006,0
Horror,2006,0
Drama,2006,0
Comedy,2006,0
Drama,2006,11502151
Comedy,2006,26888376
Drama,2006,307077295
Drama,2006,154937680
Romance,2006,0
Comedy,2006,0
Documentary,2006,25
Comedy,2006,178262620
Drama,2006,1151330
Documentary,2006,0
Family,2006,0
Music,2006,34742066
Action,2006,23321954
Drama,2006,135330182
Drama,2006,13391174
Drama,2006,0
Drama,2006,10903846
Documentary,2006,0
Comedy,2006,19179969
Comedy,2006,261572744
Documentary,2006,0
Comedy,2006,0
Comedy,2006,0
Drama,2006,0
Drama,2006,21170563
Horror,2006,0
Drama,2006,42647449
Drama,2006,4911725
Documentary,2006,46243000
Drama,2006,155721132
Documentary,2006,1678874
Comedy,2006,48548426
Drama,2006,123384128
Drama,2006,21000000
Drama,2006,0
Documentary,2007,1431623
Comedy,2007,0
Comedy,2007,121463226
Documentary,2007,274661
Comedy,2007,0
History,2007,26527510
Drama,2007,8159508
Drama,2007,71904
Drama,2007,30226144
Drama,2007,19777647
Drama,2007,0
Western,2007,70016220
Comedy,2007,0
Documentary,2007,0
Documentary,2007,0
Comedy,2007,13620075
Documentary,2007,0
Drama,2007,92
Drama,2007,0
Comedy,2007,0
Horror,2007,35619521
Drama,2007,2849142
Comedy,2007,0
Drama,2007,77208711
Thriller,2007,0
Drama,2007,22222308
Drama,2007,0
Comedy,2007,92601050
Drama,2007,0
Drama,2007,73276047
Comedy,2007,69307224
Horror,2007,0
Comedy,2007,0
Drama,2007,1185783
Drama,2007,0
Drama,2007,0
Documentary,2007,24538513
Comedy,2007,0
Comedy,2007,69485490
Drama,2007,2955039
Comedy,2007,22179430
Horror,2007,62771059
Drama,2007,0
Drama,2007,66122026
Comedy,2007,0
Comedy,2008,69497
Drama,2008,33456317
Comedy,2008,6230276
Drama,2008,0
Comedy,2008,63833449
Documentary,2008,7518876
Comedy,2008,225990978
Comedy,2008,53191886
Drama,2008,28814580
Adventure,2008,38105395
Drama,2008,2899975
Comedy,2008,42105111
Comedy,2008,33472850
Comedy,2008,128107642
Drama,2008,0
Drama,2008,0
Documentary,2008,0
Comedy,2008,92380927
Drama,2008,382174
Drama,2008,0
Horror,2008,0
Drama,2008,49554002
Drama,2008,269958228
Comedy,2008,84646831
Comedy,2008,6575282
Drama,2008,0
Drama,2008,168167691
Drama,2008,32483410
Music,2008,0
Action,2008,85416905
Drama,2008,0
Comedy,2008,0
Drama,2008,23311391
Comedy,2008,0
Drama,2008,0
Drama,2008,0
Drama,2008,9793496
Comedy,2008,0
Drama,2008,0
Drama,2008,0
Documentary,2008,0
Drama,2008,0
Documentary,2008,0
Comedy,2009,91636986
Drama,2009,47536959
Drama,2009,0
Drama,2009,110197
Comedy,2009,136267476
Comedy,2009,9069
Action,2009,87784194
Drama,2009,0
Drama,2009,31720158
Comedy,2009,17164377
Horror,2009,0
Drama,2009,0
Documentary,2009,17436509
Horror,2009,0
Comedy,2009,0
Drama,2009,95714875
Comedy,2009,114663461
Drama,2009,0
Comedy,2009,459270619
Drama,2009,309208309
Drama,2009,0
Drama,2009,0
Drama,2009,0
Horror,2009,39421467
Horror,2009,0
Drama,2009,2357852
Comedy,2009,0
Drama,2009,16633035
Comedy,2009,0
Documentary,2009,0
Comedy,2009,85280250
Comedy,2009,6405245
Comedy,2009,10848783
Drama,2009,0
Drama,2009,0
Drama,2009,0
Comedy,2009,0
Comedy,2009,40105542
Science Fiction,2009,210819611
Comedy,2009,29010817
Documentary,2010,103735
Comedy,2010,74952305
Documentary,2010,0
Drama,2010,60251371
Comedy,2010,0
Horror,2010,0
Drama,2010,0
Comedy,2010,0
Horror,2010,67918658
Drama,2010,93617009
Comedy,2010,86387857
Drama,2010,0
Drama,2010,13831503
Drama,2010,37000000
Science Fiction,2010,66821036
Drama,2010,15134293
Comedy,2010,237382724
Comedy,2010,563706
Science Fiction,2010,11212294
Drama,2010,9479718
Comedy,2010,271430189
Documentary,2010,0
Comedy,2010,453079
Drama,2010,224920315
Drama,2010,382946
Comedy,2010,152263880
Comedy,2010,0
Drama,2010,25147786
Drama,2010,0
Drama,2010,48190704
Documentary,2010,4074023
Documentary,2010,0
Drama,2010,5129058
Comedy,2010,39340177
Drama,2010,204594016
Drama,2010,771499
Drama,2010,42145
Documentary,2010,7871522
Comedy,2010,21409028
Comedy,2010,90029656
Action,2010,136000000
Drama,2010,0
Drama,2011,0
Drama,2011,0
Documentary,2011,25000
Documentary,2011,0
Comedy,2011,0
Drama,2011,330048
Drama,2011,2295733
Science Fiction,2011,22000
Drama,2011,34522221
Comedy,2011,30905
Drama,2011,0
Drama,2011,0
Horror,2011,0
Drama,2011,5355847
Drama,2011,1759252
Drama,2011,399611
Drama,2011,46495
Comedy,2011,149673788
Drama,2011,55247881
Drama,2011,110206216
Drama,2011,0
Drama,2011,17693675
Drama,2011,0
Comedy,2011,75450437
Drama,2011,35057696
Comedy,2011,6861102
Comedy,2011,0
Comedy,2011,83160734
Thriller,2011,0
Horror,2011,205703818
Drama,2011,75993061
Comedy,2011,7448385
Comedy,2011,254455986
Drama,2011,970816
Comedy,2011,35387212
Comedy,2011,216197492
Drama,2011,0
Drama,2011,5634828
Comedy,2011,37710610
Drama,2011,124272124
Drama,2011,20374201
Comedy,2011,10130000
Comedy,2011,26121638
Comedy,2011,34942188
Drama,2012,0
Comedy,2012,0
Comedy,2012,73100172
Documentary,2012,0
Drama,2012,0
Comedy,2012,41863726
Documentary,2012,845188
Comedy,2012,119772232
Documentary,2012,0
Documentary,2012,0
Comedy,2012,0
Comedy,2012,1243961
Family,2012,0
Documentary,2012,444575
Thriller,2012,13551174
Action,2012,15608545
Horror,2012,31081
Comedy,2012,24159934
Drama,2012,28258060
Comedy,2012,88058786
Drama,2012,161772375
Comedy,2012,53909751
Drama,2012,8138788
Comedy,2012,54819301
Comedy,2012,11417362
