genreId,genreCat,month,day,year,revenue
18,Drama,12,3,1999,10827816
18,Drama,12,21,1999,0
18,Drama,11,24,1999,0
35,Comedy,7,23,1999,10571408
35,Comedy,4,2,1999,29000000
18,Drama,12,10,1999,0
18,Drama,10,22,1999,0
35,Comedy,10,8,1999,0
35,Comedy,9,17,1999,0
35,Comedy,9,12,1999,0
18,Drama,10,15,1999,0
35,Comedy,4,23,1999,0
35,Comedy,8,4,1999,27500000
35,Comedy,2,13,1999,0
18,Drama,9,15,1999,356296601
27,Horror,9,10,1999,50041732
35,Comedy,8,12,1999,0
35,Comedy,3,26,1999,0
10751,Family,10,1,1999,0
18,Drama,10,8,1999,0
35,Comedy,2,5,1999,4398989
18,Drama,9,17,1999,73956241
35,Comedy,3,3,2000,24362772
27,Horror,3,16,2000,53302314
18,Drama,5,5,2000,619042
35,Comedy,10,13,2000,13700000
35,Comedy,8,25,2000,90449929
18,Drama,3,12,2000,0
53,Thriller,7,19,2000,5217498
35,Comedy,9,19,2000,0
27,Horror,9,19,2000,38574362
10749,Romance,3,23,2000,0
99,Documentary,5,5,2000,21268532
18,Drama,11,22,2000,7060876
35,Comedy,12,15,2000,73180723
35,Comedy,1,12,2000,59827328
35,Comedy,8,6,2000,0
35,Comedy,8,18,2000,0
18,Drama,10,1,2000,0
35,Comedy,7,30,2000,113916474
35,Comedy,6,22,2000,149270999
18,Drama,3,17,2000,256271286
878,Science Fiction,3,10,2000,60874615
18,Drama,12,21,2000,80049764
18,Drama,9,13,2000,48814909
35,Comedy,8,7,2000,0
18,Drama,9,29,2000,136706683
53,Thriller,2,25,2000,32168970
18,Drama,3,15,2000,325756637
35,Comedy,4,14,2000,37036004
878,Science Fiction,11,17,2000,96085477
18,Drama,12,11,2001,87713825
18,Drama,12,11,2001,0
53,Thriller,9,28,2001,100020092
35,Comedy,12,7,2001,66468332
18,Drama,1,20,2001,1667192
35,Comedy,8,22,2001,33788161
28,Action,4,27,2001,54744738
35,Comedy,9,28,2001,60780981
18,Drama,11,2,2001,0
35,Comedy,1,26,2001,94728529
18,Drama,10,25,2001,0
18,Drama,1,1,2001,0
10752,War,3,13,2001,96976270
18,Drama,9,2,2001,0
35,Comedy,7,13,2001,141774679
99,Documentary,12,12,2001,20217080
99,Documentary,1,18,2001,0
99,Documentary,9,20,2001,2074000
35,Comedy,12,21,2001,31155435
35,Comedy,4,21,2001,10013424
18,Drama,1,19,2001,416925
35,Comedy,7,4,2001,141220678
18,Drama,12,28,2001,92542418
35,Comedy,12,21,2001,0
35,Comedy,4,18,2001,0
35,Comedy,11,21,2001,14782676
35,Comedy,5,24,2002,0
18,Drama,6,21,2002,0
35,Comedy,3,22,2002,0
12,Adventure,8,8,2002,51842679
99,Documentary,10,9,2002,35564473
35,Comedy,11,22,2002,33526835
18,Drama,12,27,2002,41597830
27,Horror,10,2,2002,0
18,Drama,1,11,2002,464000
18,Drama,1,1,2002,0
18,Drama,2,22,2002,52322400
53,Thriller,1,1,2002,0
99,Documentary,2,22,2002,0
18,Drama,1,1,2002,0
35,Comedy,8,1,2002,19184015
27,Horror,2,28,2002,0
35,Comedy,9,20,2002,4245870
35,Comedy,10,1,2002,8586376
18,Drama,1,15,2002,0
18,Drama,11,8,2002,215000000
18,Drama,9,27,2002,146402
18,Drama,10,11,2002,0
35,Comedy,1,1,2003,0
